timestamp,ch,can_id,type,dlc,data_hex
2026-07-05 16:43:38.047,CAN1,003,FD,10,73 09 00 C3 BC BB 55 3E 8A BF 00 00 30 CC 65 01
2026-07-05 16:43:38.272,CAN1,003,FD,10,73 09 00 C4 BC BB 55 3E 9C BF 00 00 30 2C 65 01
2026-07-05 16:43:38.496,CAN1,003,FD,10,73 09 00 C5 BC BB 55 3E 94 BF 00 00 30 12 65 01
2026-07-05 16:43:38.722,CAN1,003,FD,10,73 09 00 C6 BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:38.945,CAN1,003,FD,10,73 09 00 C7 BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:39.171,CAN1,003,FD,10,73 09 00 C8 BC BB 55 3E 8F BF 00 00 30 1E 65 01
2026-07-05 16:43:39.396,CAN1,003,FD,10,73 09 00 C9 BC BB 55 3E A2 BF 00 00 30 0A 65 01
2026-07-05 16:43:39.621,CAN1,003,FD,10,73 09 00 CA BC BB 55 3E A9 BF 00 00 30 7A 65 01
2026-07-05 16:43:39.845,CAN1,003,FD,10,73 09 00 CB BC BB 55 3E 9E BF 00 00 30 AF 65 01
2026-07-05 16:43:40.070,CAN1,003,FD,10,73 09 00 CC BC BB 55 3E BC BF 00 00 30 D4 65 01
2026-07-05 16:43:40.295,CAN1,003,FD,10,73 09 00 CD BC BB 55 3E 9F BF 00 00 30 62 65 01
2026-07-05 16:43:40.520,CAN1,003,FD,10,73 09 00 CE BC BB 55 3E AD BF 00 00 30 65 65 01
2026-07-05 16:43:40.744,CAN1,003,FD,10,73 09 00 CF BC BB 55 3E 9F BF 00 00 30 62 65 01
2026-07-05 16:43:40.968,CAN1,003,FD,10,73 09 00 D0 BC BB 55 3E B9 BF 00 00 30 06 65 01
2026-07-05 16:43:41.194,CAN1,003,FD,10,73 09 00 D1 BC BB 55 3E 98 BF 00 00 30 33 65 01
2026-07-05 16:43:41.418,CAN1,003,FD,10,73 09 00 D2 BC BB 55 3E 9D BF 00 00 30 E1 65 01
2026-07-05 16:43:41.643,CAN1,003,FD,10,73 09 00 D3 BC BB 55 3E 8B BF 00 00 30 01 65 01
2026-07-05 16:43:41.867,CAN1,003,FD,10,73 09 00 D4 BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:42.093,CAN1,003,FD,10,73 09 00 D5 BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:42.317,CAN1,003,FD,10,73 09 00 D6 BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:42.542,CAN1,003,FD,10,73 09 00 D7 BC BB 55 3E 93 BF 00 00 30 43 65 01
2026-07-05 16:43:42.766,CAN1,003,FD,10,73 09 00 D8 BC BB 55 3E A5 BF 00 00 30 5B 65 01
2026-07-05 16:43:42.992,CAN1,003,FD,10,73 09 00 D9 BC BB 55 3E B1 BF 00 00 30 38 65 01
2026-07-05 16:43:43.215,CAN1,003,FD,10,73 09 00 DA BC BB 55 3E 8A BF 00 00 30 CC 65 01
2026-07-05 16:43:43.441,CAN1,003,FD,10,73 09 00 DB BC BB 55 3E AF BF 00 00 30 E6 65 01
2026-07-05 16:43:43.664,CAN1,003,FD,10,73 09 00 DC BC BB 55 3E 8C BF 00 00 30 50 65 01
2026-07-05 16:43:43.891,CAN1,003,FD,10,73 09 00 DD BC BB 55 3E 8A BF 00 00 30 CC 65 01
2026-07-05 16:43:44.115,CAN1,003,FD,10,73 09 00 DE BC BB 55 3E 90 BF 00 00 30 0D 65 01
2026-07-05 16:43:44.340,CAN1,003,FD,10,73 09 00 DF BC BB 55 3E 92 BF 00 00 30 8E 65 01
2026-07-05 16:43:44.564,CAN1,003,FD,10,73 09 00 E0 BC BB 55 3E 9A BF 00 00 30 B0 65 01
2026-07-05 16:43:44.788,CAN1,003,FD,10,73 09 00 E1 BC BB 55 3E 91 BF 00 00 30 C0 65 01
2026-07-05 16:43:45.014,CAN1,003,FD,10,73 09 00 E2 BC BB 55 3E 8F BF 00 00 30 1E 65 01
2026-07-05 16:43:45.238,CAN1,003,FD,10,73 09 00 E3 BC BB 55 3E 8A BF 00 00 30 CC 65 01
2026-07-05 16:43:45.463,CAN1,003,FD,10,73 09 00 E4 BC BB 55 3E 92 BF 00 00 30 8E 65 01
2026-07-05 16:43:45.687,CAN1,003,FD,10,73 09 00 E5 BC BB 55 3E A0 BF 00 00 30 89 65 01
